00013800|003D7DAB|00000016|\evt\s000100.xep
003EB800|006E45CF|00000020|\evt\s000300.xep
00AD0000|001DF08E|0000002A|\evt\s000500.xep
00CAF800|00223532|00000034|\evt\s000700.xep
00ED3000|00678511|00000040|\evt\s010100.xep
0154B800|005CF6D4|0000004A|\evt\s010200.xep
01B1B000|004E459E|00000057|\evt\s020010.xep
01FFF800|0015461E|00000062|\evt\s020350.xep
02154000|0050ACA3|0000006E|\evt\s021200.xep
0265F000|004CFA1C|00000078|\evt\s021300.xep
02B2F000|0042A737|00000082|\evt\s021500.xep
02F59800|0051211C|0000008C|\evt\s021800.xep
0346C000|0057CEB7|00000096|\evt\s021900.xep
039E9000|00196FC3|000000A1|\evt\s022300.xep
03B80000|00372370|000000AC|\evt\s025100.xep
03EF2800|0046227F|000000B6|\evt\s025300.xep
04355000|0020E130|000000C0|\evt\s025800.xep
04563800|001793C5|000000CB|\evt\s025910.xep
046DD000|006043E7|000000D8|\evt\s030600.xep
04CE1800|0060D5D0|000000E2|\evt\s030700.xep
052EF000|006BEDE2|000000ED|\evt\s031200.xep
059AE000|001D41BE|000000FA|\evt\s040110.xep
05B82800|003594B6|00000105|\evt\s041710.xep
05EDC000|00218ABC|00000112|\evt\s060100.xep
060F5000|00169711|0000011D|\evt\s060720.xep
0625E800|0038F992|00000128|\evt\s061420.xep
065EE800|00523841|00000133|\evt\s061600.xep
06B12800|005E3393|0000013D|\evt\s061700.xep
070F6000|0022918B|00000147|\evt\s061900.xep
0731F800|002F51C3|00000153|\evt\s070500.xep
07615000|001A3429|0000015E|\evt\s070710.xep
077B8800|003BCF8C|0000016A|\evt\s071400.xep
07B75800|0034194D|00000174|\evt\s071500.xep
07EB7800|00482593|0000017F|\evt\s071610.xep
0833A000|0035FE88|00000189|\evt\s071620.xep
0869A000|0096F48D|00000194|\evt\s071800.xep
09009800|003BBA48|0000019F|\evt\s072000.xep
093C5800|005DBDB1|000001A9|\evt\s072100.xep
099A1800|00429113|000001B3|\evt\s072600.xep
09DCB000|0020C4AE|000001BD|\evt\s072700.xep
09FD7800|002CFAB8|000001C7|\evt\s072800.xep
0A2A7800|00547D17|000001D2|\evt\s073100.xep
0A7EF800|0018D1F2|000001DC|\evt\s073500.xep
1080A800|00532800|000001EE|\evt\s000100.xev
10D3D000|00114800|000001F8|\evt\s000500.xev
10E51800|000F2800|00000202|\evt\s000700.xev
10F44000|003F8000|0000020E|\evt\s010100.xev
1133C000|002D1800|00000218|\evt\s010200.xev
1160D800|00088000|00000225|\evt\s020010.xev
11695800|00010800|00000230|\evt\s020350.xev
116A6000|00C09800|0000023C|\evt\s021200.xev
122AF800|007A3000|00000246|\evt\s021300.xev
12A52800|00144000|00000250|\evt\s021500.xev
12B96800|002E2800|0000025A|\evt\s021800.xev
12E79000|000EF800|00000264|\evt\s021900.xev
12F68800|001FE000|0000026F|\evt\s022300.xev
13166800|003B1800|0000027A|\evt\s025100.xev
13518000|006D3000|00000284|\evt\s025300.xev
13BEB000|000AD800|0000028E|\evt\s025800.xev
13C98800|0000B800|00000299|\evt\s025910.xev
13CA4000|00400800|000002A6|\evt\s030600.xev
140A4800|003B1800|000002B0|\evt\s030700.xev
14456000|0034E000|000002BB|\evt\s031200.xev
147A4000|00182000|000002C8|\evt\s040110.xev
14926000|00152800|000002D3|\evt\s041710.xev
14A78800|005FD800|000002E0|\evt\s060100.xev
15076000|00061800|000002EB|\evt\s060720.xev
150D7800|0019A000|000002F6|\evt\s061420.xev
15271800|001F1000|00000301|\evt\s061600.xev
15462800|00353800|0000030B|\evt\s061700.xev
157B6000|003CA800|00000315|\evt\s061900.xev
15B80800|000B1800|00000321|\evt\s070500.xev
15C32000|000BD800|0000032C|\evt\s070710.xev
15CEF800|000DA000|00000338|\evt\s071400.xev
15DC9800|0011A000|00000342|\evt\s071500.xev
15EE3800|0069C800|0000034D|\evt\s071610.xev
16580000|000D4000|00000357|\evt\s071620.xev
16654000|0031E000|00000362|\evt\s071800.xev
16972000|000AC000|0000036D|\evt\s072000.xev
16A1E000|00A4E000|00000377|\evt\s072100.xev
1746C000|003FC000|00000381|\evt\s072600.xev
17868000|00210000|0000038B|\evt\s072700.xev
17A78000|000EE800|00000395|\evt\s072800.xev
17B66800|0024E000|000003A0|\evt\s073100.xev
17DB4800|005BF000|000003AA|\evt\s073500.xev
00000000|0000005F|000003C5|\evt\us\s000100.txt
00000800|0000007B|000003CF|\evt\us\s000500.txt
00001000|00000107|000003D9|\evt\us\s000700.txt
00001800|000005EE|000003E5|\evt\us\s010100.txt
00002000|00000520|000003EF|\evt\us\s010200.txt
00002800|000007DB|000003FA|\evt\us\s021200.txt
00003000|00000147|00000404|\evt\us\s021500.txt
00003800|00000223|0000040F|\evt\us\s022300.txt
00004000|00000290|0000041A|\evt\us\s025100.txt
00004800|00000652|00000424|\evt\us\s025300.txt
00005000|0000004B|0000042E|\evt\us\s025800.txt
00005800|0000093B|0000043A|\evt\us\s030600.txt
00006800|00000583|00000444|\evt\us\s030700.txt
00007000|0000031B|0000044F|\evt\us\s031200.txt
00007800|0000015B|0000045C|\evt\us\s040110.txt
00008000|0000021E|00000467|\evt\us\s041710.txt
00008800|00000B32|00000474|\evt\us\s060100.txt
00009800|00000000|0000047E|\evt\us\s060600.txt
00009800|0000004F|00000489|\evt\us\s060720.txt
0000A000|000002C7|00000494|\evt\us\s061420.txt
0000A800|00000554|0000049F|\evt\us\s061600.txt
0000B000|000003C3|000004A9|\evt\us\s061700.txt
0000B800|000004C6|000004B3|\evt\us\s061900.txt
0000C000|000000D2|000004BF|\evt\us\s070500.txt
0000C800|00000134|000004CA|\evt\us\s070710.txt
0000D000|000000DC|000004D6|\evt\us\s071400.txt
0000D800|00000151|000004E0|\evt\us\s071500.txt
0000E000|000005B9|000004EB|\evt\us\s071610.txt
0000E800|00000131|000004F5|\evt\us\s071620.txt
0000F000|000002E8|00000500|\evt\us\s071800.txt
0000F800|000000C8|0000050B|\evt\us\s072000.txt
00010000|000012CC|00000515|\evt\us\s072100.txt
00011800|000004A0|0000051F|\evt\us\s072600.txt
00012000|000000BB|00000529|\evt\us\s072800.txt
00012800|0000026F|00000534|\evt\us\s073100.txt
00013000|00000530|0000053E|\evt\us\s073500.txt
0A97D000|002F25EE|00000567|\snd\adx\evt\s000100.adx
0AC6F800|0009F826|00000571|\snd\adx\evt\s000500.adx
0AD0F800|001622B6|0000057B|\snd\adx\evt\s000700.adx
0AE72000|003B5252|00000587|\snd\adx\evt\s010100.adx
0B227800|00289E52|00000591|\snd\adx\evt\s010200.adx
0B4B1800|0011D946|0000059E|\snd\adx\evt\s020010.adx
0B5CF800|0004CC72|000005A9|\snd\adx\evt\s020350.adx
0B61C800|0085A27E|000005B5|\snd\adx\evt\s021200.adx
0BE77000|001F56E2|000005BF|\snd\adx\evt\s021500.adx
0C06C800|0032CFE6|000005C9|\snd\adx\evt\s021800.adx
0C399800|00131F86|000005D3|\snd\adx\evt\s021900.adx
0C4CB800|001BE722|000005DE|\snd\adx\evt\s022300.adx
0C68A000|0022BF52|000005E9|\snd\adx\evt\s025100.adx
0C8B6000|0044345E|000005F3|\snd\adx\evt\s025300.adx
0CCF9800|00052E76|000005FD|\snd\adx\evt\s025800.adx
0CD4C800|0004C492|00000608|\snd\adx\evt\s025910.adx
0CD99000|004B6BC2|00000615|\snd\adx\evt\s030600.adx
0D250000|00446BEA|0000061F|\snd\adx\evt\s030700.adx
0D697000|0023A4F6|0000062A|\snd\adx\evt\s031200.adx
0D8D1800|001AE6EA|00000637|\snd\adx\evt\s040110.adx
0DA80000|0015CA42|00000642|\snd\adx\evt\s041710.adx
0DBDD000|004FB532|0000064F|\snd\adx\evt\s060100.adx
0E0D8800|0008028A|0000065A|\snd\adx\evt\s060720.adx
